serum,potency
DENV3/THAILAND/1998/04331/98,0.7408628114359278
DENV3/THAILAND/2000/05815/00,0.7381835517899848
DENV2/THAILAND/1994/00126/94,0.7318881016591665
DENV4/THAILAND/2011/00477/11,0.7304555207979443
DENV3/THAILAND/1994/01311/94,0.7283570193472797
DENV2/THAILAND/2014/00016/14,0.7231759730101761
DENV2/THAILAND/1999/04177/99,0.7227081687997997
DENV3/THAILAND/2014/00739/14,0.7226595356626144
DENV2/THAILAND/2000/00342/00,0.7177555047988662
DENV1/THAILAND/2006/02050/06,0.7136772352549529
DENV4/THAILAND/1994/00329/94,0.7104622430907733
DENV3/THAILAND/1996/01528/96,0.706617033185483
DENV3/THAILAND/2013/00693/13,0.7053474077420072
DENV1/THAILAND/2004/00758/04,0.696392366721354
DENV3/THAILAND/2013/00695/13,0.6951576871365962
DENV1/THAILAND/2012/00777/12,0.6915372273842187
DENV1/THAILAND/1994/00817/94,0.6910273158929123
DENV2/THAILAND/2012/00258/12,0.6873535386932088
DENV3/THAILAND/2009/00702/09,0.6641556898640045
DENV1/THAILAND/2004/01604/04,0.6570319609659464
DENV2/THAILAND/2011/01220/11,0.652032932544243
DENV3/THAILAND/2005/00806/05,0.6511506070231332
DENV1/THAILAND/2002/03030/02,0.6506539720997719
DENV2/THAILAND/2006/00697/06,0.6449048635487307
DENV1/THAILAND/2000/05580/00,0.6404789263761724
DENV3/THAILAND/1994/00255/94,0.6268828876558367
DENV4/THAILAND/2007/00694/07,0.6211722640661284
DENV2/THAILAND/2001/02900/01,0.6199556639916608
DENV1/THAILAND/2006/01332/06,0.6156042709453604
DENV3/THAILAND/2006/00018/06,0.6145836160772246
DENV2/THAILAND/2004/01666/04,0.6098805115655903
DENV2/THAILAND/1998/00554/98,0.6053441187858407
DENV4/THAILAND/2002/03060/02,0.6025957306861817
DENV4/THAILAND/2001/00886/01,0.5999177406496172
DENV1/THAILAND/2012/00511/12,0.5984193088520672
DENV4/THAILAND/2010/00283/10,0.5947592517234789
DENV2/THAILAND/1998/06895/98,0.5909804002731037
DENV3/THAILAND/2012/00817/12,0.5898003593317976
DENV3/THAILAND/2004/01184/04,0.5786951998180275
DENV3/THAILAND/2012/01094/12,0.5768334795205748
DENV2/THAILAND/1995/01656/95,0.5683775568728843
DENV4/THAILAND/2000/02143/00,0.56097200846501
DENV2/THAILAND/2010/01363/10,0.5596846570000173
DENV2/THAILAND/2013/00280/13,0.5581042111207595
DENV3/THAILAND/2003/01619/03,0.5489593075941793
DENV3/THAILAND/2002/03135/02,0.5294237659512505
DENV3/THAILAND/2006/02042/06,0.5279811665561133
DENV4/THAILAND/2007/00119/07,0.5250319375301254
DENV2/THAILAND/1995/00773/95,0.5235550771914281
DENV1/THAILAND/2006/00482/06,0.5210924614208182
DENV4/THAILAND/1998/04634/98,0.5182858673791615
DENV4/THAILAND/1995/00425/95,0.5134399479950943
DENV1/THAILAND/1995/00288/95,0.5108716326354866
DENV4/THAILAND/2006/00578/06,0.5097308158665425
DENV3/THAILAND/2013/00910/13,0.5068854021107205
DENV1/THAILAND/2000/01236/00,0.49590944759182753
DENV4/THAILAND/2002/03096/02,0.4923750713823661
DENV3/THAILAND/1994/00831/94,0.49169871966151046
DENV3/THAILAND/1996/01941/96,0.4915609764712708
DENV3/THAILAND/2004/00991/04,0.4912832486643929
DENV1/THAILAND/2006/01831/06,0.4868343860120489
DENV1/THAILAND/2002/01459/02,0.48375981636635806
DENV1/THAILAND/1996/01231/96,0.482860166105328
DENV1/THAILAND/1994/01495/94,0.479849914964004
DENV1/THAILAND/2006/01934/06,0.47982260423373063
DENV1/THAILAND/1998/00422/98,0.47598867372651293
DENV3/THAILAND/2006/02341/06,0.4758892483099385
DENV3/THAILAND/2010/01385/10,0.4751305737069834
DENV3/THAILAND/1997/03080/97,0.4741261897376765
DENV2/THAILAND/2006/00036/06,0.47401200684108613
DENV1/THAILAND/2010/01510/10,0.4714050759029493
