virus,avidity
DENV1/THAILAND/2005/00744/05,0.4048641469422248
DENV3/THAILAND/2013/00065/13,0.40274258425850284
DENV4/THAILAND/2014/00615/14,0.39968754064557493
DENV1/THAILAND/2006/00369/06,0.397899700880986
DENV3/THAILAND/1998/04187/98,0.39693384167192536
DENV4/THAILAND/2007/01118/07,0.3959161745764916
DENV2/THAILAND/2004/00560/04,0.3861205532658249
DENV1/THAILAND/2001/04601/01,0.3844850075917505
DENV1/THAILAND/2006/01001/06,0.38229508977743937
DENV2/THAILAND/2006/00525/06,0.38126614541733667
DENV4/THAILAND/1998/06181/98,0.38015761546962984
DENV3/THAILAND/2011/00209/11,0.37972416215090127
DENV1/THAILAND/1999/00692/99,0.37961668849109415
DENV4/THAILAND/2006/00617/06,0.36501566368986005
DENV4/THAILAND/1995/01569/95,0.35806644117502123
DENV4/THAILAND/2007/01993/07,0.3545032616892359
DENV3/THAILAND/1998/06070/98,0.3519519428065041
DENV3/THAILAND/2002/00059/02,0.3502980577787635
DENV3/THAILAND/2012/01106/12,0.34249495915572825
DENV4/THAILAND/2009/00781/09,0.33681450440751176
DENV1/THAILAND/2006/00411/06,0.3356557211835694
DENV4/THAILAND/2008/01387/08,0.3073991104503604
DENV4/THAILAND/2011/00369/11,0.3049888982996998
DENV3/THAILAND/2004/00441/04,0.2974038667555052
DENV1/THAILAND/2004/00477/04,0.2943119123314423
DENV1/THAILAND/2004/00725/04,0.2898993960742928
DENV3/THAILAND/2006/02678/06,0.286733014874297
DENV2/THAILAND/1996/01309/96,0.2863222384542465
DENV4/THAILAND/2004/00624/04,0.28011407328674426
DENV4/THAILAND/2002/03113/02,0.2725623273597487
DENV4/THAILAND/2007/01391/07,0.25758337105057455
DENV4/THAILAND/2004/00217/04,0.25072946092932863
DENV1/THAILAND/1995/00257/95,0.24964030239001614
DENV1/THAILAND/1995/00229/95,0.24749626695797022
DENV4/THAILAND/1997/00049/97,0.23628383836993444
DENV2/THAILAND/2007/00408/07,0.23503504382431345
DENV1/THAILAND/2000/01349/00,0.21843592657183677
DENV1/THAILAND/2004/00479/04,0.2167231924380057
DENV2/THAILAND/1998/00441/98,0.20369508891557508
DENV4/THAILAND/2006/00533/06,0.20116926872587923
DENV4/THAILAND/1995/00458/95,0.19973554988071912
DENV2/THAILAND/2004/01462/04,0.19878181085104932
DENV4/THAILAND/2004/01315/04,0.19856089810995547
DENV1/THAILAND/2006/00007/06,0.1935882877362837
DENV2/THAILAND/1998/01718/98,0.19171597879287824
DENV1/THAILAND/2001/02633/01,0.1795539457015789
DENV4/THAILAND/2000/05997/00,0.16273695040569416
DENV4/THAILAND/2001/06949/01,0.13919143977299717
DENV4/THAILAND/1998/06564/98,0.12806271881869935
DENV1/THAILAND/2000/05899/00,0.11446280577115933
DENV1/THAILAND/1997/00382/97,0.11323815708719587
DENV3/THAILAND/2014/00146/14,0.11182907614014308
DENV3/THAILAND/2003/02208/03,0.10774387639634533
DENV4/THAILAND/1997/02739/97,0.0929501640146409
DENV1/THAILAND/2001/00355/01,0.08843735136803758
DENV4/THAILAND/2001/00103/01,0.08787893904228943
DENV4/THAILAND/2001/06019/01,0.08682978778245831
DENV2/THAILAND/2003/01082/03,0.0814308449681436
DENV4/THAILAND/2013/00300/13,0.07780792959845059
DENV3/THAILAND/1998/02551/98,0.07422160616628212
